vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index
0,Rxn_Mixture,main_8mL_rack,24,3.3999999999999986,True,open,8_mL,main_8mL_rack,24
1,Reagent_A+B,main_8mL_rack,25,4.3999999999999915,False,none,8_mL,main_8mL_rack,25
2,Water,main_8mL_rack,26,0.399999999999999,False,none,8_mL,main_8mL_rack,26
3,0_min_Reaction,main_8mL_rack,0,0.6999999999999997,True,open,8_mL,main_8mL_rack,0
4,5_min_Reaction,main_8mL_rack,1,0.6999999999999997,True,open,8_mL,main_8mL_rack,1
5,10_min_Reaction,main_8mL_rack,2,0.6999999999999997,True,open,8_mL,main_8mL_rack,2
6,15_min_Reaction,main_8mL_rack,3,0.6999999999999997,True,open,8_mL,main_8mL_rack,3
7,20_min_Reaction,main_8mL_rack,4,0.6999999999999997,True,open,8_mL,main_8mL_rack,4
8,25_min_Reaction,main_8mL_rack,5,0.6999999999999997,True,open,8_mL,main_8mL_rack,5
9,45_min_Reaction,main_8mL_rack,6,0.6999999999999997,True,open,8_mL,main_8mL_rack,6
10,60_min_Reaction,main_8mL_rack,7,0.6999999999999997,True,open,8_mL,main_8mL_rack,7
